,Question,A,B,C,D,Answer,Subject,,,,,,,,,,,,,,,,,
1117,"K?da ?imene bija devusies kempinga ce?ojum? p?ri valsts robe�?m, kad nol?ma iebraukt Yellowstone nacion?laj? park?. Uzturoties Yellowstone, ?imene apmet?s kemping? noma?? viet?, ko ieskauj augstas priedes. Kempinga teritorij? bija izvietotas daudzas z?mes, kas br?din?ja kempinga apmekl?t?jus par to, ka me�a teritorij? valda ?rk?rt?gi sausi apst?k?i, ko izrais?ja vasar? ilgu�ais sausums. Izbrauk�anas r?t? ?imene gatavoja brokastis pie atkl?ta ugunskura. P?c brokast?m ?imene s?ka sakrav?t savus piederumus mikroautobus?, kad t?vs lika 12 gadus vecajam d?lam nodz?st ugunskuru. D?ls atnesa divus spai?us ?dens no tuv?j? d??a un p?rmeta ?deni p?r ugunskuru. Uzskat?dams, ka ir nodz?sis ugunsgr?ku, d?ls pievienoj?s ?imenei furgon?, un vi?i dev?s prom. D?lam un vi?a ?imenei nebija zin?ms, ka, vi?iem aizbraucot, ugunskurs joproj?m k?p?ja. Neilgi p?c tam v?ja br?zma aiznesa liesmas no ugunskura uz tuv?jiem kr?miem. ?rk?rt?gi sauso apst?k?u d?? kr?mi ?tri aizdeg?s, izraisot me�? plos?�anos. Me�a uzraugi nos?t?ja ugunsdz?s?ju komandu, kuras sast?v? bija divi helikopteri, kas bija apr?koti ugunsgr?ka dz?�anai. Kam?r �ie helikopteri dz?sa ugunsgr?ku no aug�as, d?mi � ap vienu no helikopteriem k?uva tik intens?vi, ka pilots zaud?ja jebk?du redzam?bu. Taj? pa�? laik? nelielas priv?t?s lidma�?nas operators paman?ja ugunsgr?ku un neapdom?gi nolaid?s d?mos. Pilotam m??inot izvair?ties no intens?vajiem d?miem, vi?a helikopters sad?r?s ar operatora zemas lidotnes lidma�?nu, izraisot abu lidapar?tu sadursmi. Spr?dzien? g?ja boj? gan pilots, gan operators. Liet? par pilota n?ves gad?jumu, ko pilota mantojums c?la pret d?lu un t?vu, spriedums b?tu j?pie?em par labu","pilota mantojumam, jo d?ls bija nolaid?gs, pien?c?gi nenokav?dams ugunskuru.","pilota mantojumam, jo t?vs ir aizbildniski atbild?gs par sava b?rna ?aunpr?t?go r?c?bu.","t?vam un d?lam, jo ekspluatanta neuzman?ga lidapar?ta ekspluat?cija b?tu uzskat?ma par aizst?jo�u iemeslu, kas izbeidz atbild?t?ja atbild?bu.","t?vam un d?lam, jo d?ls bija tikai 12 gadus vecs un t?p?c nevar uzskat?t, ka vi?� ir r?kojies nolaid?gi.",C,professional_law,,,,,,,,,,,,,,,,,
133,"Tr?s 25,00 ml aptuveni 0,10 M fenola, C6H5OH, Ka = 1,0 � 10^-10, paraugus pa??ma no konteinera un ievietoja atsevi�??s 250 ml m?rgl?z?s. Paraugus titr?ja ar standarta k?lija hidroks?da (KOH) �??dumu. Titr?�an? izmantoja sk?bes un b?zu indikatoru - kresola sarkano. Lai paraugi sasniegtu galapunktu, vajadz?ja 31,75, 32,38 un 41,75 ml. Kur� no turpm?k min?tajiem iemesliem var?tu izskaidrot, k?p?c vienam no paraugiem vajadz?ja iev?rojami vair?k b?zes, lai sasniegtu galapunktu?",Indikators tika pievienots p?r?k v?lu.,Tika izmantots nepareizs indikators.,Neatt?r?t? m?rgl?z? bija b?ze.,Neatt?r?t? m?rgl?z? bija sk?be.,D,high_school_chemistry,,,,,,,,,,,,,,,,,
60,"Kas astero?diem ir rakstur?gs, lai tie izceltos, tos mekl?jot debess nov?rojumos?",Astero?di izstaro puls?jo�u starojumu,Astero?di izstaro daudz sava starojuma,"Tie atstaro pietiekami daudz saules gaismas, lai tie b?tu spilgt?ki par liel?ko da?u fona zvaig�?u",Astero?diem ir iev?rojama kust?ba attiec?b? pret fona zvaigzn?m,D,astronomy,,,,,,,,,,,,,,,,,
50,"Gan ALU, gan CPU vad?bas sekcija izmanto kuru ?pa�? nol?ka glab?�anas vietu?",Buferus,Dekoderus,Akumulatorus,Re?istrus,C,electrical_engineering,,,,,,,,,,,,,,,,,
44,"�is jaut?jums attiecas uz �?du inform?ciju.
Tagad m?s esam izveidoju�i biedr?bu, un m?s to saucam par ""Share Our Wealth Society"", biedr?bu, kuras dev?ze ir ""Katrs cilv?ks ir karalis""....
M?s ierosin?m ierobe�ot lielo cilv?ku bag?t?bu valst?. Vid?ji katr? ?imen? Amerik? ir 15 000 dol?ru bag?t?bas. Tas ir tie�i �eit �odien.
M?s nepied?v?jam to sadal?t vienl?dz?gi. M?s nepied?v?jam dal?t bag?t?bu, bet m?s ierosin?m ierobe�ot nabadz?bu, ko m?s pie?ausim nodar?t jebkura cilv?ka ?imenei. M?s neteiksim, ka cent?simies garant?t vienl?dz?bu... bet m?s sak?m, ka viena tre�da?a no vid?j? ien?kuma ir pietiekami maz, lai viena ?imene var?tu tur?t, ka ir j?garant? ?imenes bag?t?ba aptuveni 5000 dol?ru apm?r?; pietiekami, lai ieg?d?tos m?ju, automa�?nu, radio un parastas ?rt?bas, k? ar? iesp?ju izgl?tot savus b?rnus....
Mums b?s j?ierobe�o bag?t?ba. M?su pa�reiz?jais pl?ns paredz, ka nevienam cilv?kam nedr?kst?s pieder?t vair?k par 50 000 000 ASV dol?ru. M?s dom?jam, ka ar �o ierobe�ojumu m?s var?sim ?stenot programmas l?dzsvaru.
-Luizi?nas senators Hj?ijs P. Longs, uzruna radio, 1934. gada 23. febru?ris
Senators Longs vad?ja politisko ma�?nu, kas padar?ja vi?u par faktisku Luizi?nas diktatoru. K? politisko vadoni, vi?u vislab?k var sal?dzin?t ar ko?",D�ord�u Va�ingtonu,Teodoru R?zveltu,Viljamu M. Tv?du,Baraku Obamu,C,high_school_us_history,,,,,,,,,,,,,,,,,
43,"1. apgalvojums| ID3 algoritms garant?ti atrod optim?lo l?mumu koku. 2. apgalvojums| Apl?kojiet nep?rtrauktu varb?t?bas sadal?jumu ar bl?vumu f(), kas visur nav nulle. V?rt?bas x varb?t?ba ir vien?da ar f(x).","Patiess, Patiess","Nepatiess, Nepatiess","Patiess, Nepatiess","Nepatiess, Patiess",B,machine_learning,,,,,,,,,,,,,,,,,
200,"�is jaut?jums attiecas uz �?du inform?ciju.
J?s esat Amerikas Savienot?s Valstis,
j?s esat n?kamais iebruc?js
amerikas pamatiedz?vot?ju, kuriem ir indi??u asinis,
kas joproj?m l?dzas J?zum Kristum un joproj?m run? sp?niski.
. . .
tu esi Aleksandrs-Nebukadnecars.
J?s dom?jat, ka dz?ve ir uguns,
ka progress ir izvirdums,
ka visur, kur tu �auj
tu triecies n?kotn?.
N?.
. . .
Bet m?su Amerika, kur? ir biju�i dzejnieki
kop� seniem Necahualkojotla laikiem,
. . .
...kas zin?ja zvaigznes, kas pazina Atlant?du..
kuras skan?gais v?rds n?k mums no Platona,
kas kop� t?lajiem t?s dz?ves laikiem
dz?voja no gaismas, uguns, smar�?m un m?lest?bas,
Amerikas di�gara Montezumas, inku Amerika,
kristofora Kolumba smar�?g? Amerika,
Kato?u Amerika, sp??u Amerika,
amerika, par kuru c?lais Kuauht?moks teica:
amerika, kas ir Amerika, kur? vi?� teica: ""Es neesmu ro�u gult?"", t? Amerika
kas dreb viesu?v?tr?s un dz?vo no m?lest?bas,
t? dz?vo, j?s, v?ri ar saksie�u ac?m un barbarisku dv?seli.
Un t? sap?o. Un t? m?l, un t? vibr?, un t? ir saules meita.
Esiet uzman?gi. Lai dz?vo Sp?nijas Amerika!
Sp?nijas lauva ir izlaidusi t?ksto�iem mazu?u.
R?zvelts, vienam b?tu j?b?t, caur pa�u Dievu,
bail?gs str?lnieks un sp?c?gs mednieks,
lai sp?tu m?s satvert savos dzelzs nagos.
Un, lai gan j?s r??in?ties ar visu, jums tr?kst viena - Dieva!
-P?r?emts no Rubena Dario ""R?zveltam"", 1904. gads
K?ds bija dzejnieka m?r?is, run?jot par ""m?su Ameriku, kurai kop� seniem laikiem ir biju�i dzejnieki, ... kas apspried?s ar zvaigzn?m""?",Lat??amerikai ir izcili sasniegumi dzej?.,Lat??amerika bija devusi iev?rojamu ieguld?jumu zin?tn?.,Lat??amerikai bija pravietojums par �iem notikumiem.,Lat??amerikai gadsimtiem ilgi ir bijusi bag?ta kult?ra.,D,high_school_world_history,,,,,,,,,,,,,,,,,
728,"Kur? no �iem diviem scen?rijiem galvenais varonis dara kaut ko, kas ir ac?mredzami mor?li nepareizs, saska?? ar parastaj?m mor?les norm?m ASV no 2020. gada? Scen?rijs | Es izkais?ju m?slojumu pa kaimi?u d?rze?u d?rzu. 2. scen?rijs | Es dab?ju p?rpalikumus, jo nevar?ju pabeigt vakari?as.","nepareizi, nepareizi","nepareizi, nav nepareizi","nav nepareizi, nepareizi","nav nepareizi, nav nepareizi",D,moral_scenarios,,,,,,,,,,,,,,,,,
88,"Kur? no �iem diviem scen?rijiem galvenais varonis dara kaut ko, kas ir ac?mredzami mor?li nepareizs, saska?? ar parastaj?m mor?les norm?m ASV no 2020. gada? Scen?rijs | Es nopirku b?odu tirg?. 2. scen?rijs | Es atteicos paspiest roku, jo negrib?ju, lai mani infic? v?russ.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nav nepareizi",D,moral_scenarios,,,,,,,,,,,,,,,,,
902,"Uz??mums rad?ja jaunu p?r?gu z?molu. Tom?r Feder?l?s p?rtikas un z??u administr?cijas veiktaj? p?t?jum? atkl?j?s, ka p?r?gi satur potenci?li kait?gu riekstu daudzumu da�iem pat?r?t?jiem, kuriem ir aler?ija pret riekstiem. Rezult?t? Kongress pie??ma ties?bu aktus, kas aizliedza �o p?r?gu s?t?�anu un p?rdo�anu p?ri �tatu robe�?m. Valstij ir likums, kas reglament? p?r?gu s?t?�anu un p?rdo�anu t?s teritorij?. ?emot v?r? feder?los ties?bu aktus, kas aizliedz p?r?gu p?rvad?�anu un p?rdo�anu p?ri �tatu robe�?m, �tata likums, visticam?k, ir","konstitucion?ls, jo tas ir �tata policijas kompetenc?.","konstitucion?ls, jo Kongress nevar regul?t saimniecisko darb?bu, ja gan pirc?js, gan p?rdev?js dz?vo taj? pa�? �tat?.","nekonstitucion?ls, jo tas ietekm? starp�tatu tirdzniec?bu.","nekonstitucion?ls, jo feder?lie ties?bu akti aizst?j visus konflikt?jo�os �tata ties?bu aktus par p?r?gu p?rdo�anu un p?rvad?�anu.",A,professional_law,,,,,,,,,,,,,,,,,
114,"�is jaut?jums attiecas uz �?du inform?ciju.
Izlasiet t?l?k sniegto s?dz?bu sarakstu.
3. pants: Franc?�iem par karalistes likumiem j?uzskata tikai tie likumi, kurus sagatavojusi nacion?l? asambleja un sankcion?jis karalis.
11. pants: Personas br?v?ba, ?pa�umties?bas un pilso?u dro�?ba tiek noteikta skaidri, prec?zi un neatsaucami. Visas lettres de cachet tiek atceltas uz visiem laikiem, ar zin?miem groz?jumiem, ko ?ener?l�t?bi var uzskat?t par vajadz?gu ieviest.
Pants: Lai uz visiem laikiem nov?rstu iesp?ju nodar?t kait?jumu franc?�u personiskaj?m un ?pa�umties?b?m, vis?s karalistes ties?s vis?s krimin?lliet?s un civilliet?s faktu noteik�anai ievie� zv?rin?to sist?mu.
17. pants: Tiek atceltas visas at�?ir?bas sodu noteik�an?, un noziegumi, ko izdar?ju�i da�?du k?rtu pilso?i, neatkar?gi no t? tiek sod?ti saska?? ar vien?diem likumiem un vien?d? veid?. ?ener?lvalstis cen�as pan?kt, lai p?rk?puma sekas skartu tikai indiv?du un neattiektos uz p?rk?p?ja radiniekiem, kas pa�i nav vain?gi.
21. pants: Neviens nodoklis nav likum?gs, ja to nav pie??mu�i tautas p?rst?vji un sankcion?jis karalis.
-Versa?as Tre�?s mui�niec?bas kol??ija, 1789. gads
Kuru no �?m p?rmai??m, ko izrais?ja Fran?u revol?cija, Francijas zemnieki atbalst?ja visvair?k?",Konstitucion?l?s monarhijas izveide,Feod?lo nodevu un rentes atcel�ana,Liel?ka tautas l?dzdal?ba politik?,Reli?ijas nacionaliz?cija,B,high_school_european_history,,,,,,,,,,,,,,,,,
0,1. apgalvojums| Line?r?s regresijas nov?rt?t?jam ir vismaz?k? dispersija starp visiem nenob?d?tajiem nov?rt?t?jiem. Apgalvojums 2| AdaBoost apkopotajiem klasifikatoriem pie�?irtie koeficienti ? vienm?r ir nenegat?vi.,"Patiess, Patiess","Nepatiess, Nepatiess","Patiess, Nepatiess","Nepatiess, Patiess",D,machine_learning,,,,,,,,,,,,,,,,,
112,"K?ds bija oblig?tais darbasp?ka dienests, kas bija j?sniedz karalim apmai?? pret privil??iju izmantot ?pa�umu, kas pieder?ja Inku imp?rijai?",Khipu,Mit'a,Dal?tais mantojums,Capacocha,B,prehistory,,,,,,,,,,,,,,,,,
306,"M?rena un bie�a ap?de?o�ana parasti ir vispiem?rot?k? kukur?zas kult?r?m, kas aug",izklied?t? aluvi?l? v?dek?veida augsn?,"smagas strukt?ras augsn?, piem?ram, putek?ain? m?l?","vieglas strukt?ras augsn?, piem?ram, smil�m?la augsn?",zema mitruma re?ion?,C,miscellaneous,,,,,,,,,,,,,,,,,
4,"Kur� no t?l?k min?tajiem apgalvojumiem visvair?k atbilst tam, ko, p?c Roulsa dom?m, POP izv?l?tos attiec?b? uz ""prim?rajiem soci?lajiem labumiem""?","POP izv?l?sies bag?t?bu, nevis l?dzj?t?gu sabiedr?bu.","POP izv?l?sies vienl?dz?bu, nevis varu.",POP b?s nesavt?gs.,POP izv?l?sies aizsarg?t inval?dus.,A,jurisprudence,,,,,,,,,,,,,,,,,
265,"A vitam?na tr?kums b?rniem izraisa:
",K?ksli,v?ju kognit?vo att?st?bu,v?ju kaulu aug�anu,paaugstin?tu mirst?bas risku,D,nutrition,,,,,,,,,,,,,,,,,
68,"Ja j?s dom?jat, ka k?da cilv?ka arguments ir sp?c?gs, pamatojoties uz p?rliecino�u valodas lietojumu un p?rliecino�u izkl?stu, j?s, iesp?jams, esat pie??vis k?du k??du?",Amfibola,Viennoz?m?ga atruna,?pa�a aizbildin?�an?s,Stila p?rsvars p?r b?t?bu,D,logical_fallacies,,,,,,,,,,,,,,,,,
1002,"K?dam lauksaimniekam pieder?ja 20 akru liels zemes gabals, kas atrad?s uz dienvidiem no galven? bulv?ra - ielas, kas vij?s uz austrumiem un rietumiem. Lauksaimnieka zemes gabals atrad?s blakus 300 akru lielai ran?o, kas atrad?s austrumu virzien?. Uz rietumiem no lauksaimnieka zemes gabala atrad?s 100 akru liels zemes gabals. Lauksaimnieks savu ?pa�umu sadal?ja divos 10 akru zemes gabalos: 1. zemes gabals bija zieme?u da?a, kas robe�oj?s ar galveno bulv?ri; 2. zemes gabals bija dienvidu da?a, kas dienvidos robe�oj?s ar upi. Lauksaimnieks 1997. gada mart? ar garantijas l?gumu nodeva zemes gabalu k?dam v?rietim. Akt? nebija min?ti nek?di apgr?tin?jumi. P?c tam 1997. gada septembr? lauksaimnieks ar garantijas l?gumu nodeva 2. zemes gabalu k?dai sievietei. Gan v?rietis, gan sieviete nekav?joties re?istr?ja savus aktus apgabala Re?istrat?r?. Lauksaimnieks 1965. gad? izb?v?ja piebraucamo ce?u no tagad?j? 2. zemes gabala, kas stiep?s p?ri 1. zemes gabalam, kur tas savienoj?s ar galveno bulv?ri. �is piebraucamais ce?� �??rso tagad?jo 1. zemes gabalu, un lauksaimnieks to nep?rtraukti izmantoja l?dz 1997. gadam, kad vi?� savu ?pa�umu zemes gabalos nodeva v?rietim un sievietei. Kad sieviete p?r??ma ?pa�um? 2. zemes gabalu, vi?a nekav?joties s?ka izmantot piebraucamo ce?u p?ri 1. zemes gabalam. P?c tam v?rietis piepras?ja, lai sieviete p?rtrauc izmantot piebraucamo ce?u p?ri 1. zemes gabalam. P?c tam, kad sieviete atteic?s, v?rietis iesniedza attiec?gu pras?bu, lai aizliegtu sievietei izmantot piebraucamo ce?u. �aj? pras?b? v?rietis uzvar?s",", jo vi?a akts ir agr?ks par sievietes aktu.","uzvar?s, jo vi?a akt? nav min?ti nek?di apgr?tin?jumi.","zaud?s, jo sievietei ir servit?ts p?c nepiecie�am?bas.","zaud?s, jo sievietei ir skaidri noteikts servit?ts.",C,professional_law,,,,,,,,,,,,,,,,,
56,"Klifords un L?sija Paulingi Senior View rakst?ja, ka fizisk?s p?rmai?as",ir straujas un bied?jo�as,var kompens?t ar medit?ciju,ilgst ilgu laiku,nav publiski apsprie�amas,C,human_aging,,,,,,,,,,,,,,,,,
156,Kur� no �iem piem?riem ir rakstura tikums?,gar� augums,god?gums,fizisks skaistums,vienk?r�?ba,B,moral_disputes,,,,,,,,,,,,,,,,,
120,P?c 28 dien?m p?c ie?em�anas embrijs ir aptuveni __________ cm gar�.,1,2,3,4,A,human_sexuality,,,,,,,,,,,,,,,,,
158,"Kur? no �iem diviem scen?rijiem galvenais varonis dara kaut ko, kas ir ac?mredzami mor?li nepareizs, saska?? ar parastaj?m mor?les norm?m ASV no 2020. gada? Scen?rijs | Man vajadz?ja naudu, t?p?c es pa??mu savu ieroci l?dzi uz banku. 2. scen?rijs | Man v?rs pal?dz?ja nok?rtot redzes p?rbaudi, lai ieg?tu autovad?t?ja apliec?bu.","nepareizi, nepareizi","nepareizi, nav nepareizi","nav nepareizi, nepareizi","nav nepareizi, nav nepareizi",A,moral_scenarios,,,,,,,,,,,,,,,,,
123,Prim?r? pils?ta ir,"liela pils?ta, kas atrodas valsts perif?rij?.",svar?g?k? valsts pils?ta.,"situ?cija, kad valsts liel?k? pils?ta ir vair?k nek? divas reizes liel?ka par n?kamo liel?ko pils?tu.",liel?k? valsts pils?ta.,C,high_school_geography,,,,,,,,,,,,,,,,,
285,"Pirmsskolas skolot?ja m?ca skol?niem par kr?su ratu, kas ir kr?su to?u sak?rtojums ap apli. Sarkan?, dzelten? un zil? kr?sa ir piem?rs k?dam no �?diem kr?su veidiem kr?su riten??",Papildino�?,Prim?r?,Sekund?r?,Terci?r?,B,miscellaneous,,,,,,,,,,,,,,,,,
327,"Kur? no �iem diviem scen?rijiem galvenais varonis dara kaut ko, kas ir ac?mredzami mor?li nepareizs, saska?? ar parastaj?m mor?les norm?m ASV no 2020. gada? Scen?rijs | Es esmu medm?sa. Es cen�os, lai mani pacienti turpin?tu slimot, lai vi?iem b?tu nepiecie�ams vair?k ?rst?�anas no manis. 2. scen?rijs | Es uzk?pu uz augum? gar? nolaup?t?ja k?jas.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",B,moral_scenarios,,,,,,,,,,,,,,,,,
100,"Prezidentu, viceprezidentu un ASV civildienesta ier?d?us var atst?din?t no amata. Kur� no �iem apgalvojumiem nav patiess attiec?b? uz imp??mentu?",Pie imp??menta iemesliem pieder valsts nodev?ba un kuku?do�ana,Pie imp??menta iemesliem pieder smagi noziegumi un likump?rk?pumi,"Lai izvirz?tu aps?dz?bas imp??ment?, nepiecie�ams vair?kums balsu P?rst?vju pal?t?","Lai noties?tu un atst?din?tu no amata, Sen?t? ir nepiecie�amas tr?s ceturtda?as balsu",D,professional_law,,,,,,,,,,,,,,,,,
178,"Ja es metu 5 standarta se�st?ra kauli?us un sareizinu skait?us uz katra kauli?a aug�?j?s skaldnes, k?da ir varb?t?ba, ka rezult?ts ir salikts skaitlis?",\frac{485}{486},\frac{16}{7776},\frac{4}{7776},\frac{2}{7776},A,high_school_mathematics,,,,,,,,,,,,,,,,,
209,"Korel?cija 0,6 nor?da, ka y vari?cijas procentu?l? da?a, kas izskaidrojama ar x vari?ciju, ir cik rei�u liel?ka par 0,3 korel?cijas nor?d?to procentu?lo da?u?",2,3,4,6,C,high_school_statistics,,,,,,,,,,,,,,,,,
57,"Kuru no �iem apgalvojumiem noraid?tu tie, kas sevi d?v? par kritiskiem ties?bu teor?ti?iem?",Ties?bas ir politika.,Ties?bas ir determin?tas.,Ties?bas atspogu?o ekonomisko varu.,Ties?bas ir nestabilas.,B,jurisprudence,,,,,,,,,,,,,,,,,
29,"P?c Epik?ra dom?m, likums ir netaisn?gs, ja:",tas neatbilst dabiskaj?m ties?b?m.,tas neatbilst sabiedr?bas trad?cij?m.,tas aizskar dievus.,"tas nav izdev?gs tiem, kurus tas ietekm?.",D,philosophy,,,,,,,,,,,,,,,,,
154,"�is jaut?jums attiecas uz �?du inform?ciju.
""Tie, kuru st?voklis ir t?ds, ka vi?u funkcija ir sava ?erme?a izmanto�ana un no vi?iem neko lab?ku nevar sagaid?t, tie, es saku, ir dabas vergi. Vi?iem ir lab?k, ja vi?us t? p?rvalda.""
Huans de Sepulveda, ""Politika"", 1522. g
""Kad 19. gadsimt? Lat??amerikas valstis ieguva neatkar?bu, �ie divi str?vojumi sapl?da un apvienoj?s ar vec?ku, univers?listisk?ku dabisko ties?bu trad?ciju. Rezult?t? rad?s Lat??amerikai rakstur?gs ties?bu diskursa veids. Paolo Carozza izseko �? diskursa sakn?m, mekl?jot t? saknes Tomisma mor?les filozofijas ?patn?j? pielietojum? un papla�in?�an?, lai risin?tu netaisn?bas, kas tika pie?autas sp??u iekarojumu laik? Jaunaj? pasaul?. �?iet, ka galven? fig?ra �aj? att?st?b? bija Bartolom� de Las Casas, 16. gadsimta sp??u b?skaps, kur� nosod?ja verdz?bu un aizst?v?ja indi??us, pamatojoties uz dabiskaj?m ties?b?m uz br?v?bu, kas pamatojas uz vi?u pieder?bu vienotai cilv?cei. ""Visas pasaules tautas ir cilv?ki,"" rakst?ja Las Kasass, un ""visas cilv?ces rases ir vienotas K? raksta Braiens T?rnijs (Brian Tierney), Las Kasass un citi sp??u dominik??u filozofi lika pamatus no reli?isk?s atkl?smes neatkar?gai dabisko ties?bu doktr?nai, ""balstoties uz juridisko trad?ciju, kas dabisk?s ties?bas un dabisk?s ties?bas atvasin?ja no cilv?ka racionalit?tes un br?vas gribas, un atsaucoties uz Aristote?a filozofiju""
Mary Ann Glendon, ""The Forgotten Crucible: The Latin American Influence on the Universal Human Rights Idea"", 2003. gads
Kur� no �iem prezidentiem 20. gadsimt? visvair?k iesaist?j?s Lat??amerikas politik??",D�eimss K. Polks,D�eimss Monro,Teodors R?zvelts,?esters Art?rs,C,high_school_us_history,,,,,,,,,,,,,,,,,
121,"Proced?ru, kas ietver atk?rtotu k?da stimula pasnieg�anu klientam, l?dz �? stimula pievilc?ba samazin?s, vislab?k raksturo",stimulu pies?tin?�ana,atbildes reakcijas nov?r�ana,pl?din?�ana,implozija,A,professional_psychology,,,,,,,,,,,,,,,,,
8,"Kaste ar masu m sl?d pa horizont?lu virsmu ar s?kotn?jo ?trumu v0. T? nej?t citus sp?kus, iz?emot gravit?cijas sp?ku un virsmas sp?ku. Ja kin?tisk?s berzes koeficients starp kasti un virsmu ir ?, cik t?lu sl?d kaste, pirms t? non?k miera st?vokl??",v0^2/(2?g),v0^2/(?g),2v0^2/(?g),mv0^2/(?g),A,high_school_physics,,,,,,,,,,,,,,,,,
273,"Apavu mazumtirgot?js ?auj klientiem atgriezt apavus 90 dienu laik? p?c ieg?des. Uz??mums l?�, ka 90 dienu laik? tiks atgriezti 5 % no p?rdo�anas apjoma. M?ne�a laik? uz??muma p?rdo�anas apjoms ir 200 000 ASV dol?ru un iepriek�?jos m?ne�os veikto p?rdo�anas dar?jumu atgrie�ana ir 5 000 ASV dol?ru. K?da summa uz??mumam j?re?istr? k? t?rie p?rdo�anas ie??mumi par m?ne�a laik? veiktajiem jaunajiem p?rdevumiem?",$185 000,$190 000,$195 000,$200 000,B,professional_accounting,,,,,,,,,,,,,,,,,
367,K?di ir br??u Smothersu (Smothers Brothers) v?rdi?,Frenks un Bils,Toms un Diks,Deivs un D�ord�s,Eds un P?ts,B,miscellaneous,,,,,,,,,,,,,,,,,
94,K? tiek piem?rots kodekss.,"1,2,3","1,2,4","1,3,4","2,3,4",B,business_ethics,,,,,,,,,,,,,,,,,
257,Kas bija vienojo�ais elements ?avinu kult?r??,"m?kslas stili, kuros izmantoti vieni un tie pa�i rad?jumi",austi tekstilizstr?d?jumi ar kop?giem mot?viem,apstr?d?ti met?la priek�meti,viss iepriek� min?tais,D,prehistory,,,,,,,,,,,,,,,,,
57,"Pie ?rsta v?r�as 3 gadus vecs z?ns ar hronisku granulomatozu slim?bu, jo 3 ned??as vi?am ir drudzis un silti, sarkani tulznas zem ab?m rok?m. Vi?a temperat?ra ir 38�C (100,4�F). Fizik?l? izmekl?�an? redzami palielin?ti, 3 cm lieli, eritematozi paduses limfmezgli abpus?ji. Palp?jot mezgli ir jut?gi, sv?rst?gi un kust?gi. Izmekl?jot smalko adatu aspir?tu no viena no mezgliem, konstat? grampozit?vus kokus grup?s. Aspir?ta kult?ras audz? dzeltenas, ?hemol?tiskas kolonijas, kas ir katal?zei un koagul?zei pozit?vas. Polimer?zes ??des reakcijas tests par?da mecA pozit?vus organismus. Kura no turpm?k min?taj?m farmakoterapij?m ir vispiem?rot?k? �im pacientam?",Ciprofloksac?ns,Penicil?ns G,Rifampic?ns,Vankomic?ns,D,professional_medicine,,,,,,,,,,,,,,,,,
67,Kolberga kungam pieder ziedu veikals. Dienas s?kum? vi?am bija 152 rozes. Kolberga kungs p?rdeva 96 rozes un p?c tam v?l?j?s p?r?j?s rozes sadal?t pa vienai da?ai 8 v?z?s. K?ds b?s kop?jais ro�u skaits katr? v?z??,7,12,48,56,A,elementary_mathematics,,,,,,,,,,,,,,,,,
172,"Lielu lieko svaru �urk?m, visticam?k, izrais?tu k? boj?jums?",hipokampa,talama,hipotal?ma,amigdalas,C,high_school_psychology,,,,,,,,,,,,,,,,,
16,"Kur� no �iem r?d?t?jiem liecina, ka reakcija ir spont?na?",l?dzsvara st?vokl? produktu ir vair?k nek? rea?entu,?G� v?rt?ba ir liel?ka par nulli,?S� v?rt?ba ir liel?ka par nulli,Keq v?rt?ba ir maz?ka par vienu,A,high_school_chemistry,,,,,,,,,,,,,,,,,
81,"Elektronu un protonu ievieto 1,0 T magn?tiskaj? lauk? 300 K temperat?r?. K?da ir l?dzsvara polariz?ciju attiec?ba: |pe / pH| ?","[|?e| = 1,761 x 10^11 T^-1 s^-1]",820,658,329,B,college_chemistry,,,,,,,,,,,,,,,,,
92,P?rsprieguma apst?k?os sprieguma ierobe�o�anas ier?ces pied?v?t? pretest?ba ir,augsta.,zema.,m?rena.,bezgal?ga.,B,electrical_engineering,,,,,,,,,,,,,,,,,
277,Atrodiet prec?zu atbildi: 800 - 301,599,500,499,401,C,elementary_mathematics,,,,,,,,,,,,,,,,,
129,"Viszem?k? iesp?jam? temperat?ra ir absol?t? nulle, kas ir",0 kelv?nu,-273�C,Abas atbildes ir vien?das,Neviena no atbild?m,C,conceptual_physics,,,,,,,,,,,,,,,,,
